id;ref:FR:sncf:resarail;UIC;railway:ref;name;ref:FR:uic8
1;FRHPN;8774232;SJM;Saint-Jean-de-Maurienne Arvan;87742320
3;FRXVR;8774236;SMI;Saint-Michel - Valloire;87742361
4;FRAGR;8774200;MOD;Modane;87742007
5;FREOC;8749210;LAD;Les Ardoines;87492108
6;FRHQS;8774352;BNI;Bellignat;87743526
7;FROYO;8774353;OYO;Oyonnax;87743534
9;FRHQK;8774332;VEU;Villereversure;87743328
10;FRHQL;8774333;SUS;Simandre-sur-Suran;87743336
11;FRHQI;8774330;CZR;Ceyzériat;87743302
12;FRHQM;8774334;CZQ;Cize - Bolozon;87743344
13;FRHQN;8774335;NEX;Nurieux;87743351
14;FRXTC;8774363;SCL;Saint-Claude;87743633
15;FRHRE;8774374;SBB;Saint-Rambert-en-Bugey;87743740
16;FRHRF;8774375;TEN;Tenay - Hauteville;87743757
17;FRAMB;8774371;AMB;Ambérieu-en-Bugey;87743716
18;FRXBK;8774300;BGB;Bourg-en-Bresse;87743005
19;FRHQC;8774311;XMM;Saint-Martin-du-Mont;87743112
20;FRHQE;8774314;AAI;Ambronay - Priay;87743146
21;FRHQD;8774312;PDA;Pont-d'Ain;87743120
22;FRPBS;8715994;KEL;Ker Lann;87159947
24;FRHSX;8774582;SSS;Seyssel - Corbonod;87745828
25;FRXTS;8774564;THO;Thonon-les-Bains;87745646
26;FRHSN;8774562;PEG;Perrignier;87745620
27;FRXEB;8774567;EVI;Évian-les-Bains;87745679
28;FRXBF;8774500;BGD;Bellegarde;87745000
29;FRHSB;8774541;VEY;Valleiry;87745414
30;FRQNJ;8774549;AE;Annemasse;87745497
31;FRHSD;8774543;SJG;Saint-Julien-en-Genevois;87745430
32;FRHSK;8774558;MCI;Machilly;87745588
33;FRHSL;8774559;BAB;Bons-en-Chablais;87745596
35;FRHRZ;8774538;PJY;Pougny - Chancy;87745380
36;FRQTJ;8739400;CH;Chartres;87394007
37;FRLUE;8739401;LCJ;Lucé;87394015
38;FRDKF;8739420;AMY;Amilly Ouerray;87394205
39;FRDKG;8739421;SBP;Saint-Aubin - Saint-Luperce;87394213
40;FRDKH;8739422;CVB;Courville-sur-Eure;87394221
41;FRDKI;8739424;PNN;Pontgouin;87394247
42;FRDKJ;8739425;LLP;La Loupe;87394254
43;FRDKK;8739427;BTO;Bretoncelles;87394270
44;FRDKL;8739428;CDH;Condé-sur-Huisne;87394288
45;FRDKM;8739429;NGR;Nogent-le-Rotrou;87394296
46;FRDKA;8739411;EPN;Épernon;87394114
47;FRDKB;8739413;MTN;Maintenon;87394130
48;FRDKC;8739414;SPI;Saint-Piat;87394148
49;FRDKD;8739415;JOY;Jouy;87394155
50;FRDKE;8739417;VTP;La Villette Saint-Prest;87394171
51;FRDKN;8739440;LTA;La Taye;87394403
52;FRDKO;8739441;BAP;Bailleau-le-Pin;87394411
53;FRDKP;8739442;MBW;Magny - Blandainville;87394429
54;FRDKQ;8739443;ILC;Illiers-Combray;87394437
55;FRDKS;8739445;BRO;Brou;87394452
56;FRDKU;8739448;AOU;Arrou;87394486
57;FRDKV;8739449;CWP;Courtalain - Saint-Pellerin;87394494
58;FRGCC;8764544;VIC;Vic-sur-Cère;87645440
59;FRGCF;8764547;LLN;Le Lioran;87645473
60;FRGCG;8764548;MUR;Murat;87645481
61;FRNEU;8764550;NEU;Neussargues;87645507
62;FRGBM;8764519;LRG;Le Rouget;87645192
63;FRAUR;8764500;AC;Aurillac;87645002
64;FRGBG;8764513;LQB;Laroquebrou;87645135
65;FRGBI;8764515;WCV;Lacapelle-Viescamp;87645150
66;FRGBJ;8764516;MRS;Maurs;87645168
67;FRGBK;8764517;PEK;Pers;87645176
68;FRGBL;8764518;BCL;Boisset (Cantal);87645184
69;FRGBF;8764510;YTC;Ytrac;87645101
70;FRDLN;8739620;DFO;Domfront;87396200
71;FRDLO;8739621;CIE;Conlie;87396218
72;FRDLP;8739622;CI;Crissé;87396226
73;FRDLQ;8739623;SLG;Sillé-le-Guillaume;87396234
74;FRDLR;8739625;REE;Rouessé-Vassé;87396259
75;FRDLT;8739627;CG;Champagné;87396275
76;FRDLU;8739628;SRL;Saint-Mars-la-Brière;87396283
77;FRDLV;8739629;MLG;Montfort-le-Gesnois;87396291
78;FRSAB;8739640;SAB;Sablé-sur-Sarthe;87396408
79;FRDLW;8739630;COB;Connerré - Beillé;87396309
80;FRDLX;8739631;SBO;Sceaux - Boëssé;87396317
81;FRDLY;8739632;LFB;La Ferté-Bernard;87396325
82;FRDLZ;8739633;LEU;Le Theil - La Rouge;87396333
83;FRDMB;8739635;VOI;Voivres;87396358
84;FRDMC;8739636;LSZ;La Suze;87396366
85;FRDMD;8739637;NON;Noyen;87396374
86;FRCDL;8739660;CDL;Château-du-Loir;87396606
87;FRDMK;8739654;AAG;Arnage;87396549
88;FRDML;8739655;LSG;Laigné - Saint-Gervais;87396556
89;FRDMM;8739656;ECO;Écommoy;87396564
90;FRDMN;8739657;ABG;Aubigné-Racan;87396572
91;FRDMO;8739658;MYT;Mayet;87396580
92;FRDMP;8739659;VAH;Vaas;87396598
93;FRHCL;8739689;OTO;Clermont La Rotonde;87396895
94;FRAET;8739600;LM;Le Mans;87396002
95;FRDLC;8739602;NER;Neuville-sur-Sarthe;87396028
96;FRDLD;8739603;GUH;La Guierche;87396036
97;FRDLF;8739604;MBZ;Montbizot;87396044
98;FRDLG;8739605;TEI;Teillé;87396051
99;FRDLH;8739607;VBT;Vivoin - Beaumont;87396077
100;FRDLJ;8739609;LHU;La Hutte - Coulombiers;87396093
102;FRXAV;8774164;ALV;Albertville;87741645
